0.089,9.739,2.009,30,30
0.089,9.739,2.009,10,40
0.14,9.699,1.959,20,60
0.14,9.599,2.029,30,90
0.14,9.599,2.029,20,110
-0.31,9.359,2.109,10,120
-0.429,9.369,2.22,30,150
-0.439,9.319,2.25,20,170
-0.37,9.279,2.299,10,180
-0.34,9.289,2.389,30,210
-0.259,9.369,2.48,20,230
-0.109,9.489,2.539,10,240
-0.14,9.609,2.829,32,272
-0.14,9.609,2.829,19,291
-0.109,9.429,3.259,19,310
-0.149,9.26,3.24,10,320
0.119,8.869,3.059,20,340
-0.179,9.069,2.95,30,370
-0.039,8.939,2.889,20,390
-0.219,9.069,2.809,20,410
-0.219,9.069,2.809,10,420
-0.579,9.22,2.46,20,440
-0.689,8.809,2.309,30,470
-0.689,8.809,2.309,10,480
-0.669,8.939,2.25,20,500
-0.779,8.849,2.149,30,530
-0.839,8.569,2.159,20,550
-0.839,8.569,2.159,21,571
-0.68,8.42,2.859,19,590
-0.569,8.679,3.22,20,610
-0.569,8.679,3.22,19,629
0.179,9.149,3.899,21,650
0.129,8.989,4.089,20,670
0.129,8.989,4.089,19,689
-0.5,8.72,3.939,21,710
-0.55,8.63,3.699,20,730
-0.55,8.63,3.699,20,750
-0.74,8.42,3.139,20,770
-0.839,8.429,3.039,20,790
-0.34,9.05,2.339,20,810
-0.009,8.939,1.769,19,829
-0.009,10.059,1.069,21,850
-0.349,17.51,0.949,29,879
-0.349,17.51,0.949,1,880
-0.509,18.699,0.949,29,909
-0.989,19.289,1.039,21,930
-1.599,19.359,1.049,19,949
-0.519,19.719,1.289,25,974
-0.519,19.719,1.289,5,979
0.899,17.129,1.429,31,1010
0.899,17.129,1.429,10,1020
-0.689,11.96,0.439,20,1040
-2.299,7.319,-1.039,30,1070
-2.619,6.019,-1.559,10,1080
-2.47,1.519,-3.259,30,1110
-2.029,0.469,-3.379,20,1130
-1.589,-1.889,-3.289,20,1150
-1.589,-1.889,-3.289,21,1171
-2.339,-2.039,-3.409,9,1180
-3.169,-0.509,-2.869,30,1210
-3.419,1.659,-2.349,20,1230
-3.439,2.24,-2.139,20,1250
-3.139,3.709,0.389,20,1270
-2.909,10.769,3.439,20,1290
-3.329,13,3.809,20,1310
-5.179,18.25,6.17,20,1330
-3.699,19.819,6.049,20,1350
-3.699,19.819,6.049,20,1370
-4.179,18.629,6.46,20,1390
-2.589,13.819,4.909,20,1410
-1.5,11.949,4.269,20,1430
-0.93,10.469,3.73,19,1449
-0.889,9.069,3.049,24,1473
-0.109,6.449,2.609,7,1480
0.939,2.059,2.269,30,1510
0.639,1.069,1.809,20,1530
1.149,0.74,1.319,20,1550
1.589,0.759,1.169,30,1580
1.589,0.759,1.169,10,1590
1.389,1.309,0.769,10,1600
1.259,2.269,0.639,30,1630
2.349,4.759,0.229,20,1650
2.25,7.5,-0.019,20,1670
1.12,18.049,2.73,20,1690
-0.74,19.819,2.879,20,1710
-2.589,19.819,0.039,20,1730
-2.589,19.819,0.039,10,1740
-3.48,19.819,1.709,30,1770
-0.959,19.819,1.689,30,1800
-0.889,19.649,1.159,9,1809
-2.929,13.689,-1.049,21,1830
-3.819,9.649,-1.649,20,1850
