-0.28,2.429,10.109,21,21
-0.25,2.359,9.59,20,41
-0.329,2.539,8.729,29,70
-0.319,2.539,8.579,11,81
-0.099,2.539,8.569,19,100
-0.099,2.539,8.569,21,121
0.409,2.389,9.159,20,141
0.589,2.25,9.609,19,160
1.039,2.149,9.989,31,191
1.039,2.149,9.989,9,200
1.689,2.24,9.559,31,231
1.759,2.539,8.979,10,241
1.629,2.899,8.55,19,260
1.569,3.019,8.399,21,281
1.49,3.149,8.609,19,300
1.1,3.049,9.21,31,331
1.1,3.049,9.21,10,341
0.639,2.829,9.67,19,360
0.639,2.829,9.67,21,381
-0.089,2.529,10.409,19,400
0.029,2.549,10.389,31,431
0.329,2.639,9.849,9,440
0.68,2.779,9.34,21,461
1.009,2.819,9.09,20,481
1.189,2.809,9.05,19,500
1.519,2.95,8.84,21,521
1.569,2.98,9.01,20,541
1.299,2.98,9.319,20,561
1.299,2.98,9.319,20,581
0.959,2.549,9.969,19,600
0.669,1.849,10.609,31,631
0.479,1.679,10.779,9,640
0.25,1.579,10.46,20,660
0.479,1.86,9.809,21,681
0.479,1.86,9.809,19,700
1.069,2.48,8.479,21,721
1.339,2.72,8.239,20,741
1.449,2.96,8.539,19,760
1.449,2.96,8.539,24,784
0.939,2.74,9.17,17,801
0.61,2.609,9.609,30,831
-0.07,2.379,9.659,20,851
-0.07,2.379,9.659,9,860
-0.449,2.45,9.429,21,881
-0.449,2.45,9.429,20,901
-0.81,2.539,9.059,30,931
-0.839,2.669,8.899,10,941
-0.779,2.71,8.809,19,960
-0.789,2.789,8.869,21,981
-0.789,2.789,8.909,19,1000
-0.939,2.829,8.809,20,1020
-1,2.869,8.829,21,1041
-1.259,2.629,9.539,19,1060
-1.37,2.399,10.13,21,1081
-1.35,2.289,10.25,20,1101
-1.35,2.289,10.25,20,1121
-1.409,2.339,9.899,20,1141
-1.409,2.309,9.579,19,1160
-1.409,2.309,9.579,21,1181
-1.569,2.22,9.8,29,1210
-1.48,2.319,9.659,10,1220
-0.889,2.46,9.42,20,1240
-0.75,2.47,9.369,20,1260
-0.449,2.48,9.469,21,1281
-0.239,2.389,9.489,19,1300
-0.239,2.389,9.489,20,1320
-0.089,2.099,9.859,20,1340
-0.269,1.899,10.109,21,1361
-0.269,1.899,10.109,30,1391
-0.409,1.759,10.319,9,1400
-0.759,1.689,9.949,20,1420
-0.759,1.689,9.949,21,1441
-1.139,1.75,9.609,19,1460
-1.389,2.049,10,21,1481
-1.379,2.19,10.139,20,1501
-0.979,2.639,9.899,30,1531
-0.419,2.929,10.05,9,1540
-0.429,3.089,10.84,20,1560
-0.359,3.529,11.59,21,1581
-0.25,3.849,11.219,19,1600
-0.209,3.98,10.76,20,1620
-0.209,4.15,9.8,20,1640
-0.179,4.15,8.939,20,1660
-0.14,4.049,7.94,21,1681
0.019,3.819,7.69,19,1700
0.149,3.569,8.279,20,1720
0.14,3.259,8.869,20,1740
0.14,3.259,8.869,20,1760
-0.189,2.73,9.319,30,1790
-0.479,2.629,9.34,10,1800
-0.779,2.589,9.3,31,1831
-0.689,2.659,9.059,9,1840
-0.489,2.929,8.729,20,1860
-0.489,2.929,8.729,21,1881
